topology,seed,method,burst_multiplier,per_flow_load_to_capacity_ratio,burst_mean_delivery_ratio,burst_mean_loss_ratio,burst_mean_delay,burst_mean_path_stretch,burst_mean_control_messages,burst_mean_control_bytes,burst_mean_route_changes,hotspot_peak_pressure,hotspot_relief_tick_after_shock,quieting_tick_after_shock,total_emitted_updates,total_control_bytes,total_route_changes,total_route_changes_per_node,peak_event_rate
er,124,snn_sra,2.0,0.04,0.9368655976080954,0.06313440239190472,3.1010563416769505,1.0424511352363313,1178.8709677419354,37723.87096774193,16.451612903225808,1.8,5,89,286635,9172320.0,9818,98.18,29111
er,124,te_ecmp,2.0,0.04,0.9999999999999963,0.0,2.9245852187028687,1.0,23125.483870967742,740015.4838709678,0.0,0.0,0,1,3587359,114795488.0,20163,201.63,27934
er,124,triggered_te,2.0,0.04,0.9955054642523505,0.004494535747649568,2.9281354895556526,1.0,9946.935483870968,318301.93548387097,3.0,0.3840000000000012,0,1,1669631,53428192.0,11500,115.0,38538
er,125,bandit,2.0,0.04,0.9997085114652157,0.00029148853478430013,2.991169914906771,1.0,19391.225806451614,620519.2258064516,3740.5806451612902,0.07200000000000027,0,2,3066688,98134016.0,630071,6300.71,21483
er,125,ospf_te,2.0,0.04,0.9997589614039283,0.00024103859607163588,2.991136505152484,1.0,11643.677419354839,372597.67741935485,30.322580645161292,0.024000000000000344,0,2,1837398,58796736.0,14648,146.48,13167
er,125,snn_sra,2.0,0.04,0.8927357192025464,0.10726428079745502,3.1779297387719656,1.0468499195151957,557.9032258064516,17852.90322580645,6.806451612903226,1.8,4,18,214091,6850912.0,9539,95.39,29596
er,125,te_ecmp,2.0,0.04,0.9921794046981393,0.00782059530185801,2.9978873791854506,1.0,21837.677419354837,698805.6774193548,166.09677419354838,0.2064000000000003,0,2,3485765,111544480.0,25919,259.19,26477
er,125,triggered_te,2.0,0.04,0.9399726069686274,0.060027393031374846,3.1375359242089838,1.0607517906239181,10107.322580645161,323434.32258064515,11.774193548387096,1.6800000000000026,7,2,1667821,53370272.0,11721,117.21,38430
er,121,bandit,3.0,0.06000000000000001,0.9994503891725175,0.0005496108274824738,2.93487525258812,1.0,20435.516129032258,653936.5161290322,3839.0967741935483,0.1199999999999998,0,1,3226771,103256672.0,649453,6494.53,21681
er,121,ospf_te,3.0,0.06000000000000001,0.980075221485422,0.01992477851457836,2.9530229499328726,1.0,12192.967741935483,390174.96774193546,118.74193548387096,0.4799999999999992,0,4,1934434,61901888.0,17599,175.99,14058
er,121,snn_sra,3.0,0.06000000000000001,0.9476374717373911,0.05236252826261002,3.132133889356251,1.054992056616684,1367.5483870967741,43761.54838709677,25.129032258064516,1.8,5,89,311595,9971040.0,10071,100.71,31265
er,121,te_ecmp,3.0,0.06000000000000001,0.9885234751924867,0.011476524807517633,2.945976444636351,1.0004734549586516,23933.774193548386,765880.7741935484,57.67741935483871,0.5676000000000001,0,4,3811844,121979008.0,22585,225.85,28419
er,121,triggered_te,3.0,0.06000000000000001,0.9838129452012383,0.01618705479876192,3.1309074305587754,1.0676670210392099,10736.645161290322,343572.6451612903,12.870967741935484,1.8,0,3,1754521,56144672.0,11785,117.85,40179
er,122,bandit,3.0,0.06000000000000001,0.9955676300067927,0.004432369993207268,3.03300715094688,1.0,18580.064516129034,594562.0645161291,3561.2580645161293,0.16799999999999962,0,1,2928679,93717728.0,597913,5979.13,19602
er,122,ospf_te,3.0,0.06000000000000001,0.9814494248141896,0.018550575185810585,3.0424934543506548,1.0015450096109804,11161.451612903225,357166.4516129032,104.64516129032258,0.7799999999999987,0,1,1752088,56066816.0,17081,170.81,12177
er,122,snn_sra,3.0,0.06000000000000001,0.957579234725401,0.04242076527459962,3.0816876585417083,1.0109061768833714,697.9354838709677,22333.935483870966,10.419354838709678,1.8,5,89,227190,7270080.0,9661,96.61,27276
er,122,te_ecmp,3.0,0.06000000000000001,1.0000000000000098,0.0,3.031623931623936,1.0,21143.225806451614,676583.2258064516,0.0,0.0,0,1,3290005,105280160.0,19587,195.87,22668
er,122,triggered_te,3.0,0.06000000000000001,0.9897760897238188,0.010223910276181353,3.036175904599853,1.0,9602.645161290322,307284.6451612903,2.3225806451612905,0.33599999999999924,0,1,1594603,51027296.0,11409,114.09,35508
er,123,bandit,3.0,0.06000000000000001,0.9779510677574229,0.022048932242577587,3.138235051591284,1.0,20556.870967741936,657819.8709677419,4171.677419354839,0.9119999999999981,0,1,3247675,103925600.0,698684,6986.84,21483
er,123,ospf_te,3.0,0.06000000000000001,0.9585502814914604,0.041449718508541275,3.2074698501922776,1.0197527317808415,12311.129032258064,393956.12903225806,139.4516129032258,1.6080000000000017,2,1,1947458,62318656.0,18277,182.77,12870
er,123,snn_sra,3.0,0.06000000000000001,0.916765924798022,0.0832340752019804,3.3809675133923944,1.0525464731293837,1581.5806451612902,50610.58064516129,30.032258064516128,1.8,4,89,317440,10158080.0,10209,102.09,31161
er,123,te_ecmp,3.0,0.06000000000000001,0.978517032355522,0.02148296764448527,3.1459517072391647,1.0051328012117313,24074.41935483871,770381.4193548387,153.67741935483872,0.9247999999999992,2,1,3858890,123484480.0,27021,270.21,25867
er,123,triggered_te,3.0,0.06000000000000001,0.9880226146625682,0.011977385337432176,3.1414419258573734,1.007490323604846,10777.677419354839,344885.67741935485,14.612903225806452,1.0079999999999996,2,1,1765807,56505824.0,11973,119.73,40827
er,124,bandit,3.0,0.06000000000000001,0.9802114810950499,0.019788518904950553,2.9609834426259978,1.0,19579.645161290322,626548.6451612903,3680.6451612903224,0.6599999999999991,0,1,3090025,98880800.0,629087,6290.87,20889
