topology,seed,method,burst_multiplier,per_flow_load_to_capacity_ratio,burst_mean_delivery_ratio,burst_mean_loss_ratio,burst_mean_delay,burst_mean_path_stretch,burst_mean_control_messages,burst_mean_control_bytes,burst_mean_route_changes,hotspot_peak_pressure,hotspot_relief_tick_after_shock,quieting_tick_after_shock,total_emitted_updates,total_control_bytes,total_route_changes,total_route_changes_per_node,peak_event_rate
rgg,122,triggered_te,5.0,0.1,0.34498045806478084,0.6550195419352248,5.448162767479098,1.1076525705335083,18438.451612903227,590030.4516129033,291.2903225806452,1.26,119,89,2470203,79046496.0,24959,249.59,29863
rgg,123,bandit,5.0,0.1,0.2081186153478784,0.7918813846521289,9.715450752293732,1.057399601468144,23450.225806451614,750407.2258064516,1649.8064516129032,1.8,119,89,3599950,115198400.0,327402,3274.02,24354
rgg,123,ospf_te,5.0,0.1,0.15004639021523591,0.8499536097847686,6.435731208316517,1.0942708685865925,14067.58064516129,450162.5806451613,557.0645161290323,1.3199999999999998,119,89,2127216,68070912.0,80393,803.93,15444
rgg,123,snn_sra,5.0,0.1,0.20604664881700896,0.7939533511829971,7.387636663029867,1.1064496695551223,7273.870967741936,232763.87096774194,469.03225806451616,1.8,119,89,616180,19717760.0,28371,283.71,19271
rgg,123,te_ecmp,5.0,0.1,0.17653396580196792,0.823466034198038,6.117061349304803,1.0822944553247642,21832.09677419355,698627.0967741936,1014.7741935483871,1.8,119,89,3299896,105596672.0,116316,1163.16,31823
rgg,123,triggered_te,5.0,0.1,0.14933064959545658,0.850669350404548,6.059010143948788,1.09560797446347,16048.064516129032,513538.06451612903,169.93548387096774,1.8,119,89,2444994,78239808.0,23610,236.1,25923
rgg,124,bandit,5.0,0.1,0.5511365895148863,0.4488634104851137,5.0173182008365576,1.0508712960483202,24868.16129032258,795781.1612903225,1710.0645161290322,0.0,34,4,3842398,122956736.0,380031,3800.31,26433
rgg,124,ospf_te,5.0,0.1,0.42822715252491694,0.5717728474750828,3.8252769271773235,1.0938084187475183,14901.09677419355,476835.0967741936,634.3225806451613,0.0,74,44,2290097,73283104.0,49994,499.94,15642
rgg,124,snn_sra,5.0,0.1,0.44744635478816935,0.5525536452118307,4.663939670808196,1.1146213289155928,13032.483870967742,417039.48387096776,728.5483870967741,0.0,44,89,1065420,34093440.0,37044,370.44,24424
rgg,124,te_ecmp,5.0,0.1,0.4540796197976665,0.5459203802023337,3.675468206557508,1.048455724246172,19902.483870967742,636879.4838709678,1260.741935483871,0.0,119,89,3496824,111898368.0,88013,880.13,36856
rgg,124,triggered_te,5.0,0.1,0.4333052804545901,0.5666947195454098,3.8123852407736427,1.0918867690718692,17927.129032258064,573668.1290322581,298.51612903225805,0.0,119,89,2453957,78526624.0,27776,277.76,30778
rgg,125,bandit,5.0,0.1,0.3044082404449141,0.6955917595550924,6.012120318627634,1.0427210239401625,25733.612903225807,823475.6129032258,2225.967741935484,1.8,37,7,3989718,127670976.0,445746,4457.46,27522
rgg,125,ospf_te,5.0,0.1,0.19250062574185403,0.8074993742581509,5.33364472968779,1.0961676972932972,15380.129032258064,492164.12903225806,488.8709677419355,1.8,119,89,2381253,76200096.0,65390,653.9,16533
rgg,125,snn_sra,5.0,0.1,0.3399635809126193,0.6600364190873871,5.499552516490915,1.1135881485265828,6753.741935483871,216119.74193548388,278.0,1.8,77,89,712596,22803072.0,21876,218.76,19721
rgg,125,te_ecmp,5.0,0.1,0.24177493616350387,0.7582250638365013,5.2623703490195535,1.0713391918101942,27255.709677419356,872182.7096774194,972.5806451612904,1.8,119,89,4415645,141300640.0,83735,837.35,38883
rgg,125,triggered_te,5.0,0.1,0.2092151825495319,0.7907848174504734,5.965291835862699,1.102299585479906,16452.645161290322,526484.6451612903,268.96774193548384,1.8,119,89,2422806,77529792.0,24785,247.85,32353
