topology,mode,seed,tick,route_changes,phase
er,baseline,103,10,0,pre
er,baseline,103,11,0,pre
er,baseline,103,12,0,pre
er,baseline,103,13,0,pre
er,baseline,103,14,0,pre
er,baseline,103,15,0,stage1
er,baseline,103,16,0,stage1
er,baseline,103,17,0,stage1
er,baseline,103,18,1,stage1
er,baseline,103,19,21,stage1
er,baseline,103,20,0,stage1
er,baseline,103,21,0,stage1
er,baseline,103,22,0,stage1
er,baseline,103,23,0,stage1
er,baseline,103,24,0,stage1
er,baseline,103,25,0,stage1
er,baseline,103,26,0,stage1
er,baseline,103,27,0,stage1
er,baseline,103,28,0,stage1
er,baseline,103,29,0,stage1
er,baseline,103,30,0,stage1
er,baseline,103,31,21,pre
er,baseline,103,32,0,pre
er,baseline,103,33,0,pre
er,baseline,103,34,0,pre
er,baseline,103,35,0,pre
er,baseline,103,36,0,pre
er,baseline,103,37,0,pre
er,baseline,103,38,0,pre
er,baseline,103,39,0,pre
er,baseline,103,40,0,stage2
er,baseline,103,41,0,stage2
er,baseline,103,42,0,stage2
er,baseline,103,43,0,stage2
er,baseline,103,44,3,stage2
er,baseline,103,45,0,stage2
er,baseline,103,46,0,stage2
er,baseline,103,47,0,stage2
er,baseline,103,48,0,stage2
er,baseline,103,49,0,stage2
er,baseline,103,50,0,stage2
er,baseline,103,51,0,stage2
er,baseline,103,52,0,stage2
er,baseline,103,53,0,stage2
er,baseline,103,54,0,stage2
er,baseline,103,55,0,stage2
er,baseline,103,56,3,recovery
er,baseline,103,57,0,recovery
er,baseline,103,58,0,recovery
er,baseline,103,59,0,recovery
er,baseline,103,60,0,recovery
er,baseline,103,61,0,recovery
er,baseline,103,62,0,recovery
er,baseline,103,63,0,recovery
er,baseline,103,64,0,recovery
er,baseline,103,65,0,recovery
er,baseline,103,66,0,recovery
er,baseline,103,67,0,recovery
er,baseline,103,68,0,recovery
er,baseline,103,69,0,recovery
er,baseline,103,70,0,recovery
er,baseline,103,71,0,recovery
er,baseline,103,72,0,recovery
er,baseline,103,73,0,recovery
er,baseline,103,74,0,recovery
er,baseline,103,75,0,recovery
er,baseline,103,76,0,recovery
er,baseline,103,77,0,recovery
er,baseline,103,78,0,recovery
er,baseline,103,79,0,recovery
er,memory_only,103,1,2554,pre
er,memory_only,103,2,4960,pre
er,memory_only,103,3,1718,pre
er,memory_only,103,4,88,pre
er,memory_only,103,5,0,pre
er,memory_only,103,6,0,pre
er,memory_only,103,7,0,pre
er,memory_only,103,8,0,pre
er,memory_only,103,9,0,pre
er,memory_only,103,10,0,pre
er,memory_only,103,11,0,pre
er,memory_only,103,12,0,pre
er,memory_only,103,13,0,pre
er,memory_only,103,14,0,pre
er,memory_only,103,15,0,stage1
er,memory_only,103,16,0,stage1
er,memory_only,103,17,0,stage1
er,memory_only,103,18,0,stage1
er,memory_only,103,19,0,stage1
er,memory_only,103,20,17,stage1
er,memory_only,103,21,5,stage1
er,memory_only,103,22,0,stage1
er,memory_only,103,23,0,stage1
er,memory_only,103,24,0,stage1
er,memory_only,103,25,0,stage1
er,memory_only,103,26,0,stage1
er,memory_only,103,27,0,stage1
er,memory_only,103,28,0,stage1
er,memory_only,103,29,0,stage1
er,memory_only,103,30,0,stage1
er,memory_only,103,31,17,pre
