time_s,old_cwnd_bytes,new_cwnd_bytes
10.510974,12670,12572
10.511037,12572,12913
10.511446,12913,12816
10.511509,12816,13157
10.511918,13157,13059
10.511981,13059,13400
10.512378,13400,13303
10.512912,13303,13108
10.513856,13108,12913
10.514800,12913,12718
10.515744,12718,12523
10.516688,12523,12328
10.517632,12328,12134
10.518576,12134,11939
10.519520,11939,11744
10.520464,11744,11549
10.521408,11549,9648
10.521408,9648,10184
10.557467,10184,10720
10.576000,10720,11256
10.593998,11256,11792
10.613822,11792,12328
10.633646,12328,12864
10.655358,12864,13400
10.677070,13400,13936
10.699726,13936,14472
10.710658,14472,12670
10.711067,12670,12572
10.711130,12572,12913
10.711539,12913,12816
10.711602,12816,13157
10.712011,13157,13059
10.712074,13059,13400
10.712470,13400,13303
10.713005,13303,13108
10.713949,13108,12913
10.714893,12913,12718
10.715837,12718,12523
10.716781,12523,12328
10.717725,12328,12134
10.718669,12134,11939
10.719613,11939,11744
10.720557,11744,11549
10.721501,11549,9648
10.721501,9648,10184
10.757560,10184,10720
10.776093,10720,11256
10.794091,11256,11792
10.813915,11792,12328
10.833739,12328,12864
10.855451,12864,13400
10.877163,13400,13936
10.899819,13936,14472
10.910750,14472,12670
10.911160,12670,12572
10.911222,12572,12913
10.911632,12913,12816
10.911694,12816,13157
10.912104,13157,13059
10.912166,13059,13400
10.912563,13400,13303
10.913098,13303,13108
10.914042,13108,12913
10.914986,12913,12718
10.915930,12718,12523
10.916874,12523,12328
10.917818,12328,12134
10.918762,12134,11939
10.919706,11939,11744
10.920650,11744,11549
10.921594,11549,9648
10.921594,9648,10184
10.957653,10184,10720
10.976186,10720,11256
10.994184,11256,11792
11.014008,11792,12328
11.033832,12328,12864
11.055544,12864,13400
11.077256,13400,13936
11.099912,13936,14472
11.110843,14472,12670
11.111253,12670,12572
11.111315,12572,12913
11.111725,12913,12816
11.111787,12816,13157
11.112197,13157,13059
11.112259,13059,13400
11.112656,13400,13303
11.113190,13303,13108
11.114134,13108,12913
11.115078,12913,12718
11.116022,12718,12523
11.116966,12523,12328
11.117910,12328,12134
11.118854,12134,11939
11.119798,11939,11744
11.120742,11744,11549
11.121686,11549,9648
11.121686,9648,10184
11.157746,10184,10720
11.176278,10720,11256
11.194277,11256,11792
11.214101,11792,12328
11.233925,12328,12864
11.255637,12864,13400
11.277349,13400,13936
11.300005,13936,14472
11.309992,14472,13167
11.310402,13167,13051
11.310464,13051,13354
11.310874,13354,13237
11.310936,13237,13540
11.311333,13540,13424
11.311867,13424,13191
11.312811,13191,12958
11.313755,12958,12725
11.314699,12725,12492
11.315643,12492,12259
11.316587,12259,12026
11.317531,12026,11792
11.318475,11792,11559
11.319419,11559,11326
11.320363,11326,11093
11.321307,11093,9648
11.321307,9648,10184
11.356894,10184,10720
11.375427,10720,11256
11.393426,11256,11792
11.413250,11792,12328
11.433074,12328,12864
11.454786,12864,13400
11.476498,13400,13936
11.499154,13936,14472
11.510085,14472,12670
11.510494,12670,12572
11.510557,12572,12913
11.510966,12913,12816
11.511029,12816,13157
11.511438,13157,13059
11.511501,13059,13400
11.511898,13400,13303
11.512432,13303,13108
11.513376,13108,12913
11.514320,12913,12718
11.515264,12718,12523
11.516208,12523,12328
11.517152,12328,12134
11.518096,12134,11939
11.519040,11939,11744
11.519984,11744,11549
11.520928,11549,9648
11.520928,9648,10184
11.556987,10184,10720
11.575520,10720,11256
11.593518,11256,11792
11.613342,11792,12328
11.633166,12328,12864
11.654878,12864,13400
11.676590,13400,13936
11.699246,13936,14472
11.710178,14472,12670
11.710587,12670,12572
11.710650,12572,12913
11.711059,12913,12816
11.711122,12816,13157
11.711531,13157,13059
11.711594,13059,13400
11.711990,13400,13303
11.712525,13303,13108
11.713469,13108,12913
11.714413,12913,12718
11.715357,12718,12523
11.716301,12523,12328
11.717245,12328,12134
11.718189,12134,11939
11.719133,11939,11744
11.720077,11744,11549
11.721021,11549,9648
11.721021,9648,10184
11.757080,10184,10720
11.775613,10720,11256
11.793611,11256,11792
11.813435,11792,12328
11.833259,12328,12864
11.854971,12864,13400
11.876683,13400,13936
11.899339,13936,14472
11.910270,14472,12670
11.910680,12670,12572
11.910742,12572,12913
11.911152,12913,12816
